schema,version,api_path,comparison_scope,paragraphs,replacements,source,mode,fixture_sha256,fixture_bytes,fixture_name,expected_output_sha256,expected_output_bytes,repeat,ordinal,warmup,elapsed_ns,open_ns,edit_ns,commit_ns,publish_ns,drop_ns,output_bytes,output_sha256,source_version_before_id,source_version_before_revision,source_version_after_id,source_version_after_revision,source_version_unchanged,source_read_calls,source_requested_bytes,source_returned_bytes,source_zero_length_calls,cache_before_cold_loads,cache_before_successful_loads,cache_before_hits,cache_live_cold_loads,cache_live_successful_loads,cache_live_hits,cache_live_retained_bytes,cache_live_retained_entries,cache_live_in_flight_loads,budget_managed,budget_before_memory,budget_live_memory,budget_after_memory,budget_before_input,budget_live_input,budget_after_input,budget_before_output,budget_live_output,budget_after_output,budget_before_objects,budget_live_objects,budget_after_objects,budget_before_work,budget_live_work,budget_after_work,memory_released,objects_released,input_monotonic,work_monotonic,semantic_ok,raw_untouched_ok,raw_untouched_member_payloads_ok,output_exact_ok,managed_preflight_forward_ok,managed_preflight_inverse_ok,forward_ok,inverse_ok,unmanaged_preflight_forward_ok,unmanaged_preflight_inverse_ok
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,0,true,6083265,25061,5669983,1430,383481,2860,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,4,0,4,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,1,true,6092775,17030,5682464,1230,388911,2860,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,6,0,6,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,2,true,6094555,16570,5681253,1100,392542,2870,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,8,0,8,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,0,false,6104524,15930,5697253,1150,386921,3080,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,10,0,10,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,1,false,6116885,16070,5702024,1110,394681,2830,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,12,0,12,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,2,false,6077135,15960,5687083,1060,370082,2740,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,14,0,14,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,3,false,6079124,15640,5697933,1140,361261,2930,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,16,0,16,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,4,false,6074785,16430,5689743,1170,364282,2870,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,18,0,18,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,5,false,6042624,15890,5661173,1120,361341,2880,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,20,0,20,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
managed_paragraph_batch_perf_v1,1,replace_paragraph_text,descriptive_same_fixture_alternative_api_path_no_same_api_before_after_claim,128,32,file,repeated,ca410eb5ac948e3e90f67505a0e566883a15305e0fa64a90be9e146256160685,532875,fixture-p128-k32.docx,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,533099,0,6,false,6048835,15620,5668323,1270,360582,2840,533099,07b6ec7b9c286008cbeb2808c8096fc14bdfd1f760574130a4cbee649fbae002,22,0,22,0,true,45,535175,535175,4,0,0,0,1,1,0,7281,1,0,true,0,387140,0,0,8490,535175,0,0,533099,0,14865,0,0,13117445,19744507,true,true,true,true,true,true,true,true,true,true,true,true,true,true
